SG Postal Code,Latitude,Longtitude, Load (demand in kg), Earliest, Latest, Duration (service time),start_tw (hh:mm),end_tw (hh:mm),,,,,
119615,1.291608,103.7763329,0,0,240,0,,,,,,,
38988,1.295309,103.859486,10,161,181,10,10:41:00,11:01:00,,,,,
48468,1.282613,103.848669,7,50,70,10,8:50:00,9:10:00,,,,Time window,20 minutes
58357,1.285713,103.843924,13,116,136,10,9:56:00,10:16:00,,,,Orders are delivered in morning shift 8am and 2pm,
69542,1.278887,103.848023,19,149,169,10,10:29:00,10:49:00,,,,,
85201,1.27799,103.84122,26,34,54,10,8:34:00,8:54:00,,,,,
90109,1.273917,103.825287,3,99,119,10,9:39:00,9:59:00,,,,,
99254,1.264479,103.818703,5,81,101,10,9:21:00,9:41:00,,,,,
102111,1.281212,103.808337,9,95,115,10,15:35:00,15:55:00,,,,,
103080,1.274086,103.807535,16,97,117,10,9:37:00,9:57:00,,,,,
117406,1.286215,103.783457,16,124,144,10,10:04:00,10:24:00,,,,,
127158,1.309658,103.760967,12,67,87,10,9:07:00,9:27:00,,,,,
128383,1.310338,103.752013,19,63,83,10,9:03:00,9:23:00,,,,,
130020,1.306685,103.783514,23,159,179,10,10:39:00,10:59:00,,,,,
142091,1.302139,103.797267,20,32,52,10,8:32:00,8:52:00,,,,,
150009,1.288948,103.808395,8,61,81,10,9:01:00,9:21:00,,,,,
159013,1.292022,103.817891,19,75,95,10,9:15:00,9:35:00,,,,,
162008,1.287444,103.839279,2,157,177,10,10:37:00,10:57:00,,,,,
165026,1.283046,103.825595,12,87,107,10,9:27:00,9:47:00,,,,,
168732,1.286145,103.827342,17,76,96,10,9:16:00,9:36:00,,,,,
169074,1.287436,103.833889,9,126,146,10,10:06:00,10:26:00,,,,,
187962,1.30016,103.85279,11,62,82,10,9:02:00,9:22:00,,,,,
198747,1.30359,103.859795,18,97,117,10,9:37:00,9:57:00,,,,,
199007,1.304414,103.860414,29,68,88,10,9:08:00,9:28:00,,,,,
210042,1.315803,103.849673,3,153,173,10,10:33:00,10:53:00,,,,,
227973,1.305647,103.836893,6,172,192,10,10:52:00,11:12:00,,,,,
228059,1.3023229,103.848207,17,132,152,10,10:12:00,10:32:00,,,,,
238061,1.293887,103.843088,16,37,57,10,8:37:00,8:57:00,,,,,
247919,1.3043149,103.821339,16,39,59,10,8:39:00,8:59:00,,,,,
267036,1.314173,103.792301,9,63,83,10,9:03:00,9:23:00,,,,,
277683,1.311471,103.794855,21,71,91,10,9:11:00,9:31:00,,,,,
279306,1.322417,103.787193,27,50,70,10,8:50:00,9:10:00,,,,,
288352,1.324807,103.812281,23,141,161,10,16:21:00,16:41:00,,,,,
308214,1.32319,103.8491279,11,37,57,10,8:37:00,8:57:00,,,,,
310061,1.33642,103.852298,14,117,137,10,9:57:00,10:17:00,,,,,
314079,1.334377,103.84956,8,143,163,10,10:23:00,10:43:00,,,,,
319074,1.334937,103.86062,5,41,61,10,8:41:00,9:01:00,,,,,
327981,1.3267119,103.864111,8,134,154,10,10:14:00,10:34:00,,,,,
333038,1.320821,103.866744,16,83,103,10,9:23:00,9:43:00,,,,,
339416,1.310942,103.865653,31,44,64,10,8:44:00,9:04:00,,,,,
